NAME,STATE,2000 POP.,1990 POP.
LANIER COUNTY,GA,7241,5531
LAURENS COUNTY,GA,44874,39988
LEE COUNTY,GA,24757,16250
LIBERTY COUNTY,GA,61610,52745
LINCOLN COUNTY,GA,8348,7442
LONG COUNTY,GA,10304,6202
LOWNDES COUNTY,GA,92115,75981
LUMPKIN COUNTY,GA,21016,14573
MCDUFFIE COUNTY,GA,21231,20119
MCINTOSH COUNTY,GA,10847,8634
MACON COUNTY,GA,14074,13114
MADISON COUNTY,GA,25730,21050
MARION COUNTY,GA,7144,5590
MERIWETHER COUNTY,GA,22534,22411
MILLER COUNTY,GA,6383,6280
MITCHELL COUNTY,GA,23932,20275
MONROE COUNTY,GA,21757,17113
MONTGOMERY COUNTY,GA,8270,7163
MORGAN COUNTY,GA,15457,12883
MURRAY COUNTY,GA,36506,26147
MUSCOGEE COUNTY,GA,186291,179278
NEWTON COUNTY,GA,62001,41808
OCONEE COUNTY,GA,26225,17618
OGLETHORPE COUNTY,GA,12635,9763
PAULDING COUNTY,GA,81678,41611
PEACH COUNTY,GA,23668,21189
PICKENS COUNTY,GA,22983,14432
PIERCE COUNTY,GA,15636,13328
PIKE COUNTY,GA,13688,10224
POLK COUNTY,GA,38127,33815
PULASKI COUNTY,GA,9588,8108
PUTNAM COUNTY,GA,18812,14137
QUITMAN COUNTY,GA,2598,2209
RABUN COUNTY,GA,15050,11648
RANDOLPH COUNTY,GA,7791,8023
RICHMOND COUNTY,GA,199775,189719
ROCKDALE COUNTY,GA,70111,54091
SCHLEY COUNTY,GA,3766,3588
SCREVEN COUNTY,GA,15374,13842
SEMINOLE COUNTY,GA,9369,9010
SPALDING COUNTY,GA,58417,54457
STEPHENS COUNTY,GA,25435,23257
STEWART COUNTY,GA,5252,5654
SUMTER COUNTY,GA,33200,30228
TALBOT COUNTY,GA,6498,6524
TALIAFERRO COUNTY,GA,2077,1915
TATTNALL COUNTY,GA,22305,17722
TAYLOR COUNTY,GA,8815,7642
TELFAIR COUNTY,GA,11794,11000
TERRELL COUNTY,GA,10970,10653
THOMAS COUNTY,GA,42737,38986
TIFT COUNTY,GA,38407,34998
TOOMBS COUNTY,GA,26067,24072
TOWNS COUNTY,GA,9319,6754
TREUTLEN COUNTY,GA,6854,5994
TROUP COUNTY,GA,58779,55536
TURNER COUNTY,GA,9504,8703
TWIGGS COUNTY,GA,10590,9806
UNION COUNTY,GA,17289,11993
UPSON COUNTY,GA,27597,26300
WALKER COUNTY,GA,61053,58340
WALTON COUNTY,GA,60687,38586
WARE COUNTY,GA,35483,35471
WARREN COUNTY,GA,6336,6078
WASHINGTON COUNTY,GA,21176,19112
WAYNE COUNTY,GA,26565,22356
WEBSTER COUNTY,GA,2390,2263
WHEELER COUNTY,GA,6179,4903
WHITE COUNTY,GA,19944,13006
WHITFIELD COUNTY,GA,83525,72462
WILCOX COUNTY,GA,8577,7008
WILKES COUNTY,GA,10687,10597
WILKINSON COUNTY,GA,10220,10228
WORTH COUNTY,GA,21967,19745
HAWAII COUNTY,HI,148677,120317
HONOLULU COUNTY,HI,876156,836231
KALAWAO COUNTY,HI,147,130
KAUAI COUNTY,HI,58463,51177
MAUI COUNTY,HI,128094,100374
ADA COUNTY,ID,300904,205775
ADAMS COUNTY,ID,3476,3254
BANNOCK COUNTY,ID,75565,66026
BEAR LAKE COUNTY,ID,6411,6084
BENEWAH COUNTY,ID,9171,7937
BINGHAM COUNTY,ID,41735,37583
BLAINE COUNTY,ID,18991,13552
BOISE COUNTY,ID,6670,3509
BONNER COUNTY,ID,36835,26622
BONNEVILLE COUNTY,ID,82522,72207
